CAT,to_group,CLASSIF,DESCRIPTION,DESCRABREV,DESCRABREV,REFER,DESCRICAO,EXCLUIDOS
X04,,,Exposure to flammable substance combustion,X04   Exposicao combustao subst muito inflamavel,X04 Exposure combustion subst very flammable,,Exposi̤̣o a combusṭo de subst̢ncia muito inflam��vel,
X05,,,Exposure to combustion clothing sleeping,X05   Exposicao a combustao de roupa de dormir,X05 Exposure to combustion clothing sleeping,,Exposi̤̣o a combusṭo de roupa de dormir,
X06,,,Exposure to combustion or other clothing accessories,X06   Exposicao combustao outr tipo roupa acessor,X06 Exposure combustion othe brand clothes accessor,,Exposi̤̣o a combusṭo de outro tipo de roupa ou de acess�_rios,
X08,,,"Exposure to other specified smoke, fire and flames",X08   Exposicao outr tipo espec fumaca fogo chamas,X08 Exposure othe spec type smoke fire flames,,"Exposi̤̣o a outro tipo especificado de fuma̤a, fogo ou chamas",
X09,,,"Exposure to unspecified smoke, fire and flames",X09   Exposicao a tipo NE de fumaca fogo chamas,X09 Exposure NE type smoke fire flames,,"Exposi̤̣o a tipo ṇo especificado de fuma̤a, fogo ou chamas",
X10,,,"Contact with drinks, food, fat and hot cooking oil",X10   Contato bebid alim gord oleo cozinha quentes,X10 Contact drink? Alim gord hot cooking oil,,"Contato com bebidas, alimentos, gordura e �_leo de cozinha quentes",
X11,,,Contact with hot running water faucet,X11   Contato c/agua corrente quente de torneira,X11 Contact c / hot running water faucet,,Contato com ��gua corrente quente de torneira,
X12,,,Contact with other hot liquids,X12   Contato c/outr liquidos quentes,X12 Contact c / othe hot liquids,,Contato com outros l�_quidos quentes,
X13,,,Contact with steam and hot vapors,X13   Contato c/vapor dagua e c/vapores quentes,X13 Contact c / vapor dagua and c / hot vapors,,Contato com vapor d'��gua e com vapores quentes,
X14,,,Contact with air and hot gases,X14   Contato c/ar e gases quentes,X14 Contact c / air and hot gases,,Contato com ar e gases quentes,
X15,,,Contact with hot household appliances,X15   Contato c/aparelhos domesticos quentes,X15 Contact c / Cell Phones hot appliances,,Contato com aparelhos dom̩sticos quentes,
X16,,,"Contact heaters, radiators and piping",X16   Contato c/aquecedores radiadores e tubulacao,X16 Contact c / heating radiators and piping,,"Contato com aquecedores, radiadores e tubula̤̣o",
X17,,,"Contact engines, machines and hot tools",X17   Contato motores maquinas ferramentas quentes,X17 Contact engines tools hot machines,,"Contato com motores, m��quinas e ferramentas quentes",
X18,,,Contact with other hot metals,X18   Contato c/outr metais quentes,X18 Contact c / othe hot metals,,Contato com outros metais quentes,
X19,,,Contact with other heat sources or unspecified hot substances,X19   Contato outr fontes calor subst quentes NE,X19 Contact othe heat sources warm subst NE,,Contato com outras fontes de calor ou com subst̢ncias quentes ṇo especificados,
X20,,,Contact with poisonous snakes and lizards,X20   Contato c/serpentes e lagartos venenosos,X20 Contact c / poisonous snakes and lizards,,Contato com serpentes e lagartos venenosos,
X21,,,Contact with poisonous spiders,X21   Contato c/aranhas venenosas,X21 Contact c / poisonous spiders,,Contato com aranhas venenosas,
X22,,,Contact with scorpions,X22   Contato c/escorpioes,X22 Contact c / scorpions,,Contato com escorpi̵es,
X23,,,"Contact with bees, wasps and hornets",X23   Contato c/abelhas vespas e vespoes,X23 Contact c / wasps bees and hornets,,"Contato com abelhas, vespas e vesp̵es",
X24,,,Contact with poisonous centipedes and millipedes (tropical),X24   Contato c/centopeias e miriapodes venenosas,X24 Contact c / centipedes and millipedes poisonous,,Contato com centop̩ias e miri��podes venenosas (tropicais),
X25,,,Contact with other venomous arthropods,X25   Contato c/outr artropodes venenosos,X25 Contact c / othe poisonous arthropods,,Contato com outros artr�_podes venenosos,
X26,,,Contact with animals and poisonous marine plants,X26   Contato animais e plantas marinhos venenosos,X26 Contact venomous marine animals and plants,,Contato com animais e plantas marinhos venenosos,
X27,,,Contact with other specified venomous animals,X27   Contato c/outr animais venenosos espec,X27 Contact c / othe spec poisonous animals,,Contato com outros animais venenosos especificados,
X28,,,Contact with other specified venomous plants,X28   Contato c/outr plantas venenosas espec,X28 Contact c / spec othe poisonous plants,,Contato com outras plantas venenosas especificadas,
X29,,,"Contact with animals or poisonous plants, unspecified",X29   Contato animais ou plantas venenosos s/espec,X29 Contact animals or poisonous plants s / spec,,"Contato com animais ou plantas venenosos, sem especifica̤̣o",
X30,,,Exposure to natural excessive heat,X30   Exposicao a calor natural excessivo,X30 Exposure to excessive natural heat,,Exposi̤̣o a calor natural excessivo,
X31,,,Exposure to excessive natural cold,X31   Exposicao a frio natural excessivo,X31 Exposure to excessive natural cold,,Exposi̤̣o a frio natural excessivo,
X32,,,Exposure to sunlight,X32   Exposicao a luz solar,X32 Exposure to sunlight,,Exposi̤̣o �� luz solar,
X33,,,Distance to victim,X33   Vitima de raio,X33 distance to Victim,,V�_tima de raio,
X34,,,Earthquake victim,X34   Vitima de terremoto,X34 Victim of earthquake,,V�_tima de terremoto,
X35,,,Volcanic eruption victim,X35   Vitima de erupcao vulcanica,X35 Victim of volcanic eruption,,V�_tima de erup̤̣o vulc̢nica,
X36,,,"Avalanche victim, ground collapse and other movements of the earth's surface",X36   Vitima avalanc desab terra out mov sup terr,X36 Victim avalanc desab earth mov October sup terr,,"V�_tima de avalanche, desabamento de terra e outros movimentos da superf�_cie terrestre",
X37,,,Victim of cataclysmic storm,X37   Vitima de tempestade cataclismica,X37 Victim of cataclysmic storm,,V�_tima de tempestade catacl�_smica,
X38,,,Flood victim,X38   Vitima de inundacao,X38 Victim of flood,,V�_tima de inunda̤̣o,
X39,,,Exposure to other forces of nature and unspecified,X39   Exposicao a outr forcas da natureza e as NE,X39 Exposure to othe forces of nature and the NE,,Exposi̤̣o a outras for̤as da natureza e ��s ṇo especificadas,
X40,,,"Poisoning [intoxication] by accidental exposure to analgesic, antipyretic and anti-rheumatic, non-opiate",X40   Envenen acid analg antipir anti-reum n-opiac,X40 Envenen acid analg antipir anti-reum n-OPIAC,,"Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a analg̩sicos, antipir̩ticos e anti-reum��ticos, ṇo-opi��ceos",
X41,,,"Poisoning [intoxication] by accidental exposure to anticonvulsant drugs [AEDs], sedatives, hypnotics, antiparkinsonian and psychotropic drugs, not elsewhere classified",X41   Env ac anticon sed hipn antipark psicot NCOP,X41 Env ac anticon sed Hypnotic antipark psicot NEC,,"Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a anticonvulsivantes [antiepil̩pticos], sedativos, hipn�_ticos, antiparkinsonianos e psicotr�_picos ṇo classificadas em outra parte",
X42,,,Poisoning [intoxication] accidental by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified,X42   Envenen acid narcot psicodislepticos NCOP,X42 Envenen acid Narcotics psychodysleptics NEC,,Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a narc�_ticos e psicodisl̩pticos [alucin�_genos] ṇo classificados em outra parte,
X43,,,Poisoning [intoxication] accidental by and exposure to other drugs acting on the autonomic nervous system,X43   Envenen acid outr subst farm sist nerv auton,X43 Envenen acid othe subst farm auton nerv syst,,Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a outras subst̢ncias farmacol�_gicas de a̤̣o sobre o sistema nervoso aut̫nomo,
X44,,,"Poisoning [intoxication] accidental by and exposure to other drugs, medicines and unspecified biological substances",X44   Envenen acid outr drog medic subst biolog NE,X44 Envenen acid othe drog medic subst biolog NE,,"Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a outras drogas, medicamentos e subst̢ncias biol�_gicas ṇo especificadas",
X45,,,Poisoning [intoxication] accidental by and exposure to alcohol,X45   Envenen acid p/e exposicao ao alcool,X45 Envenen acid p / and exposure to alcohol,,Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o ao ��lcool,
X46,,,Poisoning [intoxication] accidental by and exposure to organic solvents and halogenated hydrocarbons and their vapors,X46   Envenen acid solv org hidrocarb halog vapor,X46 Envenen acid solv org hidrocarb steam Halog,,Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a solventes org̢nicos e hidrocarbonetos halogenados e seus vapores,
X47,,,Accidental poisoning by and exposure to other gases and vapors,X47   Intox acid outr gases e vapores,X47 Intox othe acid gases and vapors,,Intoxica̤̣o acidental por e exposi̤̣o a outros gases e vapores,
X48,,,Poisoning [intoxication] by accidental exposure to pesticides,X48   Envenen acid p/e exposicao a pesticidas,X48 Envenen acid p / and exposure to pesticides,,Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a pesticidas,
X49,,,Poisoning [intoxication] accidental by and exposure to other harmful chemicals and unspecified,X49   Envenen acid outr subst quim nocivas e as NE,X49 Envenen acid othe subst harmful chem and NE,,Envenenamento [intoxica̤̣o] acidental por e exposi̤̣o a outras subst̢ncias qu�_micas nocivas e ��s ṇo especificadas,
X50,,,Excess and strenuous or repetitive movements,X50   Excesso exerc movim vigorosos ou repetitivos,X50 Excess subs vigorous or repetitive MOVIM,,Excesso de exerc�_cios e movimentos vigorosos ou repetitivos,
X51,,,Travel and motion,X51   Viagem e movimento,X51 Travel and motion,,Viagem e movimento,
X52,,,Extended stay in agravitacional environment,X52   Estadia prolongada ambiente agravitacional,X52 Extended stay agravitacional environment,,Estadia prolongada em ambiente agravitacional,
X53,,,Food shortage,X53   Falta de alimento,X53 Lack of food,,Falta de alimento,
X54,,,Lack of water,X54   Falta de agua,X54 Lack of water,,Falta de ��gua,
X57,,,Deprivation unspecified,X57   Privacao NE,X57 deprivation NE,,Priva̤̣o ṇo especificada,
X58,,,Exposure to other specified factors,X58   Exposicao a outr fatores espec,X58 Exposure to othe factors spec,,Exposi̤̣o a outros fatores especificados,
X59,,,Exposure to unspecified factors,X59   Exposicao a fatores NE,X59 Exposure NE factors,,Exposi̤̣o a fatores ṇo especificados,
X60,,,"Self-poisoning by and exposure, intentional, analgesic, antipyretic and anti-rheumatic, non-opiate",X60   Auto-int int analg antipir anti-reum n-opiac,X60 Self-int int analg antipir anti-reum n-OPIAC,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a analg̩sicos, antipir̩ticos e anti-reum��ticos, ṇo-opi��ceos",
X61,,,"Self-poisoning by and exposure, intentional, the anticonvulsant drugs [AEDs] sedatives, hypnotics, antiparkinsonian and psychotropic drugs, not elsewhere classified",X61   Auto-int int a-conv sed hip a-park psic NCOP,X61 Self-int int a conv-sed the hip-park psycho NEC,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a drogas anticonvulsivantes [antiepil̩pticos] sedativos, hipn�_ticos, antiparkinsonianos e psicotr�_picos ṇo classificados em outra parte",
X62,,,"Self-poisoning by and exposure, intentional, narcotics and psychodysleptics [hallucinogens] not elsewhere classified",X62   Auto-intox intenc narcot psicodislept NCOP,X62 Self-intox-intent Narcotics psicodislept NEC,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a narc�_ticos e psicodisl̩pticos [alucin�_genos] ṇo classificados em outra parte",
X63,,,Self-poisoning by and exposure intentionally to other drugs acting on the autonomic nervous system,X63   Auto-int int outr subst farm sist nerv auton,X63 Self-int int othe subst farm auton nerv syst,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a outras subst̢ncias farmacol�_gicas de a̤̣o sobre o sistema nervoso aut̫nomo",
X64,,,"Self-poisoning by and exposure, intentional, the other drugs, medicaments and biological substances and unspecified",X64   Auto-int intenc out drog med subst biolog NE,X64 Self-int-intent in October drog med subst biolog NE,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a outras drogas, medicamentos e subst̢ncias biol�_gicas e ��s ṇo especificadas",
X65,,,Voluntary self-poisoning by alcohol,X65   Auto-intox voluntaria p/alcool,X65 Self-intox voluntary p / alcohol,,Auto-intoxica̤̣o volunt��ria por ��lcool,
X66,,,Intentional self-poisoning by organic solvents and halogenated hydrocarbons and their vapors,X66   Auto-int int solv org hidrocarb halog vapor,X66 Self-int int solv org hidrocarb steam Halog,,"Auto-intoxica̤̣o intencional por solventes org̢nicos, hidrocarbonetos halogenados e seus vapores",
X67,,,Intentional self-poisoning by other gases and vapors,X67   Auto-intox intenc p/outr gases e vapores,X67 Self-intox-intent p / othe gases and vapors,,Auto-intoxica̤̣o intencional por outros gases e vapores,
X68,,,"Self-poisoning by and exposure, intentional, the pesticides",X68   Auto-intox intenc a pesticidas,X68 Self-intox-intent to pesticides,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a pesticidas",
X69,,,"Self-poisoning by and exposure, intentional, the other chemicals and unspecified harmful substances",X69   Auto-int intenc outr prod quim subst noc NE,X69 Self-intent int othe prod chem subst noc NE,,"Auto-intoxica̤̣o por e exposi̤̣o, intencional, a outros produtos qu�_micos e subst̢ncias nocivas ṇo especificadas",
X70,,,"Intentional self-harm by hanging, strangulation and suffocation",X70   Lesao autoprov intenc enforc estrang sufoc,X70 injury autoprov-intent enforc Alien sufoc,,"Leṣo autoprovocada intencionalmente por enforcamento, estrangulamento e sufoca̤̣o",
X71,,,Intentional self-harm by drowning and submersion,X71   Lesao autoprov intenc p/afogamento submersao,X71 injury autoprov-intent p / drowning submersion,,Leṣo autoprovocada intencionalmente por afogamento e submerṣo,
X72,,,Intentional self-harm by hand gun shooting,X72   Lesao autoprov intenc disp arma fogo de mao,X72 injury autoprov-intent disp hand of firearm,,Leṣo autoprovocada intencionalmente por disparo de arma de fogo de ṃo,
X73,,,"Intentional self-harm by rifle, shotgun, or larger caliber firearm",X73   Les autoprov int disp arm fog maior calibre,X73 Les autoprov int disp fog higher caliber arm,,"Leṣo autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre",
X74,,,Intentional self-harm by shooting another firearm and of firearm unspecified,X74   Lesao autopr intenc disp outr arma fogo e NE,X74 injury autopr-intent othe gun fire disp and NE,,Leṣo autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo ṇo especificada,
X75,,,Intentional self-harm by explosive devices,X75   Lesao autoprov intenc p/disp explosivos,X75 injury autoprov-intent p / disp explosives,,Leṣo autoprovocada intencionalmente por dispositivos explosivos,
X76,,,"Intentional self-harm by smoke, fire and flames",X76   Lesao autoprov intenc fumaca fogo e chamas,X76 injury autoprov-intent smoke fire and flames,,"Leṣo autoprovocada intencionalmente pela fuma̤a, pelo fogo e por chamas",
X77,,,"Intentional self-harm by steam, hot vapors and hot objects",X77   Lesao autopr int vapor agua gas  obj quent,X77 injury autopr int water vapor gas obj Hot,,"Leṣo autoprovocada intencionalmente por vapor de ��gua, gases ou objetos quentes",
X78,,,Intentional self-harm by sharp object,X78   Lesao autoprov intenc obj cortante  penetr,X78 injury autoprov-intent obj cutting penetr,,Leṣo autoprovocada intencionalmente por objeto cortante ou penetrante,
X79,,,Intentional self-harm by blunt object,X79   Lesao autoprov intenc p/objeto contundente,X79 injury autoprov-intent p / blunt object,,Leṣo autoprovocada intencionalmente por objeto contundente,
X80,,,Intentional self-harm by jumping from a high place,X80   Lesao autoprov intenc precip lugar elevado,X80 injury autoprov-intent precip high place,,Leṣo autoprovocada intencionalmente por precipita̤̣o de um lugar elevado,
X81,,,Intentional self-harm by jumping or lying before moving object,X81   Lesao autoprov intenc precip perm obj movim,X81 injury autoprov-intent precip perm obj MOVIM,,Leṣo autoprovocada intencionalmente por precipita̤̣o ou perman̻ncia diante de um objeto em movimento,
X82,,,Intentional self-harm by impact of a motor vehicle,X82   Lesao autoprov intenc impacto veic a motor,X82 injury autoprov-intent veic impact engine,,Leṣo autoprovocada intencionalmente por impacto de um ve�_culo a motor,
X83,,,Intentional self-harm by other specified means,X83   Lesao autoprov intenc p/outr meios espec,X83 injury autoprov-intent p / othe spec means,,Leṣo autoprovocada intencionalmente por outros meios especificados,
X84,,,Intentional self-harm by unspecified means,X84   Lesao autoprov intenc p/meios NE,X84 injury autoprov-intent p / NE means,,Leṣo autoprovocada intencionalmente por meios ṇo especificados,
X85,,,"Assault by drugs, medicaments and biological substances",X85   Agressao meio drog medic e subst biologicas,X85 Aggression means drog medic and biological subst,,"Agresṣo por meio de drogas, medicamentos e subst̢ncias biol�_gicas",
X86,,,Assault by corrosive substances,X86   Agressao p/meio de subst corrosivas,X86 Aggression p / means of corrosive subst,,Agresṣo por meio de subst̢ncias corrosivas,
X87,,,Assault by pesticides,X87   Agressao p/pesticidas,X87 Aggression p / pesticides,,Agresṣo por pesticidas,
X88,,,Assault by gases and vapors,X88   Agressao p/meio de gases e vapores,X88 Aggression w / medium gases and vapors,,Agresṣo por meio de gases e vapores,
X89,,,Assault by other specified chemicals and harmful substances,X89   Agressao outr prod quim subst nocivas espec,X89 Aggression othe prod spec harmful subst chem,,Agresṣo por meio de outros produtos qu�_micos e subst̢ncias nocivas especificados,
X90,,,Assault by chemicals and harmful substances not specified,X90   Agressao prod quimicos e subst nocivas NE,X90 Aggression prod chemicals and harmful subst NE,,Agresṣo por meio de produtos qu�_micos e subst̢ncias nocivas ṇo especificados,
X91,,,"Assault by hanging, strangulation and suffocation",X91   Agressao enforc estrangulamento sufocacao,X91 Aggression enforc strangulation suffocation,,"Agresṣo por meio de enforcamento, estrangulamento e sufoca̤̣o",
X92,,,Assault by drowning and submersion,X92   Agressao p/meio de afogamento e submersao,X92 Aggression p / means of drowning and submersion,,Agresṣo por meio de afogamento e submerṣo,
X93,,,Assault by hand gun shooting,X93   Agressao disparo de arma de fogo de mao,X93 Aggression shooting hand of a firearm,,Agresṣo por meio de disparo de arma de fogo de ṃo,
X94,,,"Assault by rifle, shotgun or larger caliber firearm",X94   Agressao disparo arma fogo de maior calibre,X94 Aggression firing large-caliber firearm,,"Agresṣo por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre",
X95,,,Assault by shooting another firearm or weapon unspecified,X95   Agressao disparo outr arma de fogo ou NE,X95 Aggression shooting othe firearm or NE,,Agresṣo por meio de disparo de outra arma de fogo ou de arma ṇo especificada,
X96,,,Assault by explosive material,X96   Agressao p/meio de material explosivo,X96 Aggression p / means of explosive material,,Agresṣo por meio de material explosivo,
X97,,,"Assault by smoke, fire and flames",X97   Agressao p/meio de fumaca fogo e chamas,X97 Aggression p / means of smoke fire and flames,,"Agresṣo por meio de fuma̤a, fogo e chamas",
X98,,,"Assault by steam, hot gases or objects",X98   Agressao vapor agua gases ou objetos quentes,X98 Aggression water vapor gases or hot objects,,"Agresṣo por meio de vapor de ��gua, gases ou objetos quentes",
X99,,,Assault by sharp object,X99   Agressao objeto cortante ou penetrante,X99 Aggression sharp object,,Agresṣo por meio de objeto cortante ou penetrante,
Y00,,,Aggression by a blunt object,Y00   Agressao p/meio de um objeto contundente,Aggression Y00 p / means of a blunt object,,Agresṣo por meio de um objeto contundente,
Y01,,,Assault by a high projection place,Y01   Agressao p/meio projecao de um lugar elevado,Aggression Y01 p / middle projection from a high place,,Agresṣo por meio de proje̤̣o de um lugar elevado,
Y02,,,Assault by projection or placing victim before moving object,Y02   Agressao proj coloc vitima obj movimento,Y02 Aggression proj placed victim obj movement,,Agresṣo por meio de proje̤̣o ou coloca̤̣o da v�_tima diante de um objeto em movimento,
Y03,,,Assault by impact of a motor vehicle,Y03   Agressao p/meio de impacto veic a motor,Y03 Aggression w / medium impact motor veic,,Agresṣo por meio de impacto de um ve�_culo a motor,
Y04,,,Assault by bodily force,Y04   Agressao p/meio de forca corporal,Aggression Y04 p / half body strength,,Agresṣo por meio de for̤a corporal,
Y05,,,Sexual assault with physical force,Y05   Agressao sexual p/meio de forca fisica,Y05 Sexual Aggression p / means of physical strength,,Agresṣo sexual por meio de for̤a f�_sica,
Y06,,,Neglect and abandonment,Y06   Negligencia e abandono,Y06 Neglect and abandonment,,Neglig̻ncia e abandono,
Y07,,,Other syndromes abuse,Y07   Outr sindr de maus tratos,Y07 othe sindr of abuse,,Outras s�_ndromes de maus tratos,
Y08,,,Assault by other specified means,Y08   Agressao p/outr meios espec,Aggression Y08 p / othe spec means,,Agresṣo por outros meios especificados,
Y09,,,Assault by unspecified means,Y09   Agressao p/meios NE,Aggression Y09 p / media NE,,Agresṣo por meios ṇo especificados,
Y10,,,"Poisoning [intoxication] by and exposure to analgesic, antipyretic and anti-rheumatic non-opiate, undetermined intent",Y10   Env analg antipir antireum n-opiac int n det,Y10 Env analg antipir antireum n-OPIAC int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a analg̩sicos, antipir̩ticos e anti-reum��ticos ṇo-opi��ceos, inten̤̣o ṇo determinada",
Y11,,,"Poisoning [intoxication] by and exposure to anticonvulsant drugs [AEDs], sedatives, hypnotics, antiparkinsonian and psychotropic drugs, not elsewhere classified, undetermined intent",Y11   Env antic sed hipn antip psic NCOP int n det,Y11 Env antic sed Hypnotic Antip psycho NEC int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a anticonvulsivantes [antiepil̩pticos], sedativos, hipn�_ticos, antiparkinsonianos e psicotr�_picos ṇo classificados em outra parte, inten̤̣o ṇo determinada",
Y12,,,"Poisoning [intoxication] by and exposure to narcotics and psychodysleptics [hallucinogens] not elsewhere classified, undetermined intent",Y12   Envenen narcot psicodislept NCOP int n det,Y12 Envenen Narcotics psicodislept NEC int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a narc�_ticos e a psicodisl̩pticos [alucin�_genos] ṇo classificados em outra parte, inten̤̣o ṇo determinada",
Y13,,,"Poisoning [intoxication] by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",Y13   Env out subst farm sist nerv auton int n det,Y13 Env October subst farm auton nerv syst int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a outras subst̢ncias farmacol�_gicas de a̤̣o sobre o sistema nervoso aut̫nomo, inten̤̣o ṇo determinada",
Y14,,,"Poisoning [intoxication] by and exposure to other drugs, medicaments and biological substances and unspecified, undetermined intent",Y14   Env out drog med subst biolog e NE int n det,Y14 Env October drog med subst biolog and NE int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a outras drogas, medicamentos e subst̢ncias biol�_gicas e as ṇo especificadas, inten̤̣o ṇo determinada",
Y15,,,"Poisoning [intoxication] by and exposure to alcohol, undetermined intent",Y15   Envenen alcool intencao nao determinada,Y15 Envenen alcohol intention not determined,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o ao ��lcool, inten̤̣o ṇo determinada",
Y16,,,"Poisoning [intoxication] by and exposure to organic solvents and halogenated hydrocarbons and their vapors, undetermined intent",Y16   Env solv org hidrocarb halog vap int n det,Y16 Env solv org hidrocarb Halog Steam int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a solventes org̢nicos e hidrocarbonetos halogenados e seus vapores, inten̤̣o ṇo determinada",
Y17,,,"Poisoning [intoxication] by and exposure to other gases and vapors, undetermined intent",Y17   Envenen outr gases vapores intenc n det,Y17 Envenen othe-intent vapors gases n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a outros gases e vapores, inten̤̣o ṇo determinada",
Y18,,,"Poisoning [intoxication] by and exposure to pesticides, undetermined intent",Y18   Envenen pesticidas intencao nao determinada,Y18 Envenen not determined intention pesticides,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a pesticidas, inten̤̣o ṇo determinada",
Y19,,,"Poisoning [intoxication] by and exposure to other chemicals and harmful substances and unspecified, undetermined intent",Y19   Env out prod quim subst noc e NE int n det,Y19 Env October prod subst chem noc and NE int n det,,"Envenenamento [intoxica̤̣o] por e exposi̤̣o a outros produtos qu�_micos e subst̢ncias nocivas e aos ṇo especificados, inten̤̣o ṇo determinada",
Y20,,,"Hanging, strangulation and suffocation, undetermined intent",Y20   Enforc estrang sufoc intenc nao determinada,Y20 Enforc Alien sufoc-intent not determined,,"Enforcamento, estrangulamento e sufoca̤̣o, inten̤̣o ṇo determinada",
Y21,,,"Drowning and submersion, undetermined intent",Y21   Afogamento submersao intenc nao determinada,Y21 Drowning submersion-intent not determined,,"Afogamento e submerṣo, inten̤̣o ṇo determinada",
Y22,,,"Pistol shooting, undetermined intent",Y22   Disparo de pistola intencao nao determinada,Y22 pistol shooting intention not determined,,"Disparo de pistola, inten̤̣o ṇo determinada",
Y23,,,"Rifle shooting, shotgun and larger firearm discharge, undetermined intent",Y23   Disparo arma fogo maior calibre intenc n det,Y23 Trigger gun fire large-caliber-intent n det,,"Disparo de fuzil, carabina e arma de fogo de maior calibre, inten̤̣o ṇo determinada",
Y24,,,"Shooting another firearm and of firearm unspecified, undetermined intent",Y24   Disparo outr arma fogo e NE intenc nao det,Y24 Shooting othe gun fire and NE-intent not det,,"Disparo de outra arma de fogo e de arma de fogo ṇo especificada, inten̤̣o ṇo determinada",
Y25,,,"Contact with explosive material, undetermined intent",Y25   Contato c/material explosivo intenc n det,Y25 Contact c / explosives-intent n det,,"Contato com material explosivo, inten̤̣o ṇo determinada",
Y26,,,"Exposure to smoke, fire and flames, undetermined intent",Y26   Exposicao fumaca fogo chamas intenc n det,Y26 Exposure smoke fire flame-intent n det,,"Exposi̤̣o a fuma̤a, fogo e chamas, inten̤̣o ṇo determinada",
Y27,,,"Exposure water steam, hot vapors and hot objects, undetermined intent",Y27   Exposic vapor agua gas obj quente int n det,Y27 EXPOSURE water vapor gas obj hot int n det,,"Exposi̤̣o a vapor de ��gua, gases ou objetos quentes, inten̤̣o ṇo determinada",
Y28,,,"Contact with sharp object, undetermined intent",Y28   Contato obj cortante penetrante intenc n det,Y28 Contact pervasive cutting-intent obj n det,,"Contato com objeto cortante ou penetrante, inten̤̣o ṇo determinada",
Y29,,,"Contact with blunt object, undetermined intent",Y29   Contato obj contundente intenc n det,Y29 Contact blunt-intent obj n det,,"Contato com objeto contundente, inten̤̣o ṇo determinada",
Y30,,,"Falling, jumping or pushed from a high place, undetermined intent",Y30   Queda salto empurr lugar elev intenc n det,Y30 fall jump push-intent place elev n det,,"Queda, salto ou empurrado de um lugar elevado, inten̤̣o ṇo determinada",
Y31,,,"Falling, lying or running before or into moving object, undetermined intent",Y31   Queda perman corrida obj mov intenc n det,Y31 Fall Perman race obj mov-intent n det,,"Queda, perman̻ncia ou corrida diante de um objeto em movimento, inten̤̣o ṇo determinada",
Y32,,,"Impact of a motor vehicle, undetermined intent",Y32   Impacto veic a motor intenc nao determinada,Y32 Impact veic the motor-intent not determined,,"Impacto de um ve�_culo a motor, inten̤̣o ṇo determinada",
Y33,,,"Other facts or specified events, undetermined intent",Y33   Outr fatos ou eventos espec intenc n det,Y33 othe facts or spec-intent n det events,,"Outros fatos ou eventos especificados, inten̤̣o ṇo determinada",
Y34,,,Facts or events unspecified and undetermined intent,Y34   Fatos ou eventos NE e intenc nao determinada,Y34 facts or events and NE-intent not determined,,Fatos ou eventos ṇo especificados e inten̤̣o ṇo determinada,
Y35,,,Legal intervention,Y35   Intervencao legal,Y35 Legal Intervention,,Interven̤̣o legal,
Y36,,,War operations,Y36   Operacoes de guerra,Y36 war Operations,,Opera̵̤es de guerra,
Y40,,,Adverse effects of systemic antibiotics,Y40   Antibioticos sistemicos,Y40 Antibiotics systemic,,Efeitos adversos de antibi�_ticos sist̻micos,
Y41,,,Adverse effects of other anti-infective and systemic antiparasitic,Y41   Outr antiinfecc e antiparasit sistemicos,Y41 othe antiinfecc and systemic antiparasit,,Efeitos adversos de outros antiinfecciosos e antiparasit��rios sist̻micos,
Y42,,,"Adverse effects of hormones and their synthetic substitutes and antagonists, not elsewhere classified",Y42   Hormonios subst sintet antagonistas NCOP,Y42 Hormones subst Sintet NEC antagonists,,"Efeitos adversos de horm̫nios e seus substitutos sint̩ticos e antagonistas, ṇo classificados em outra parte",
Y43,,,Adverse effects primarily systemic action of substances,Y43   Subst de acao prim sistemica,Y43 Replace prim systemic action,,Efeitos adversos de subst̢ncias de a̤̣o primariamente sist̻mica,
